n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
131,2.0841968059539795,-0.650991,-0.0664131,0.00690754,-2.24187,-0.858017,1.0797,0,0,0,0,0,0,12442,0
132,2.100154399871826,-0.651002,-0.0663941,0.00685357,-2.2419,-0.858075,1.0794,0,0,0,0,0,0,12440,0
133,2.11611270904541,-0.650988,-0.0663546,0.00685835,-2.2419,-0.858056,1.0794,0,0,0,0,0,0,12434,0
134,2.1320700645446777,-0.651008,-0.066347,0.00691859,-2.24186,-0.857965,1.0796,0,0,0,0,0,0,12437,0
135,2.1480252742767334,-0.651035,-0.0663114,0.00689931,-2.24186,-0.857906,1.079,0,0,0,0,0,0,12441,0
136,2.163985252380371,-0.651004,-0.0663227,0.00685769,-2.24189,-0.858013,1.0794,0,0,0,0,0,0,12444,0
137,2.1799733638763428,-0.651003,-0.0663052,0.00690492,-2.24183,-0.857938,1.0795,0,0,0,0,0,0,12443,0
138,2.1959292888641357,-0.650991,-0.0663176,0.00687722,-2.24188,-0.857935,1.0795,0,0,0,0,0,0,12439,0
139,2.2118873596191406,-0.651009,-0.0663247,0.00691232,-2.24186,-0.857923,1.0795,0,0,0,0,0,0,12444,0
140,2.227844476699829,-0.650991,-0.0663115,0.00685247,-2.24187,-0.858046,1.0794,0,0,0,0,0,0,12437,0
141,2.243769645690918,-0.651001,-0.0663006,0.00687902,-2.2419,-0.857914,1.0794,0,0,0,0,0,0,12440,0
142,2.259758949279785,-0.651006,-0.0663579,0.006885,-2.24204,-0.858057,1.0796,0,0,0,0,0,0,12438,0
143,2.2757158279418945,-0.650979,-0.0663539,0.00685251,-2.24193,-0.858226,1.0795,0,0,0,0,0,0,12440,0
144,2.291673421859741,-0.650958,-0.0663819,0.00681993,-2.24202,-0.858221,1.0795,0,0,0,0,0,0,12443,0
145,2.307600259780884,-0.65101,-0.0663748,0.00688186,-2.24196,-0.858131,1.0796,0,0,0,0,0,0,12443,0
146,2.3235886096954346,-0.650986,-0.0663454,0.00687908,-2.24197,-0.858079,1.0796,0,0,0,0,0,0,12441,0
147,2.339545488357544,-0.650995,-0.0663876,0.00688829,-2.24195,-0.858216,1.0796,0,0,0,0,0,0,12439,0
148,2.3555026054382324,-0.650965,-0.0663051,0.00684317,-2.24202,-0.858065,1.0794,0,0,0,0,0,0,12441,0
149,2.3712868690490723,-0.650985,-0.06635,0.00687672,-2.24199,-0.858104,1.0796,0,0,0,0,0,0,12435,0
150,2.387819528579712,-0.65099,-0.0663782,0.00684864,-2.24199,-0.858226,1.0795,0,0,0,0,0,0,12443,0
151,2.404050827026367,-0.65097,-0.0663423,0.00683295,-2.24201,-0.858145,1.079,0,0,0,0,0,0,12443,0
152,2.4200520515441895,-0.650938,-0.066349,0.00682035,-2.24204,-0.858164,1.0794,0,0,0,0,0,0,12439,0
153,2.435837745666504,-0.650929,-0.0663273,0.00681485,-2.24203,-0.858205,1.0794,0,0,0,0,0,0,12438,0
154,2.4519639015197754,-0.650929,-0.0663273,0.00681485,-2.24203,-0.858205,1.0794,0,0,0,0,0,0,12441,0
