n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
194,3.1017649173736572,-0.66578,-0.0652788,0.00636413,-2.24177,-0.857675,1.076,0,0,0,0,0,0,12664,0
195,3.117764949798584,-0.665787,-0.0652353,0.00634171,-2.24187,-0.857566,1.0767,0,0,0,0,0,0,12668,0
196,3.133732318878174,-0.665802,-0.0652578,0.00638686,-2.24176,-0.857556,1.0768,0,0,0,0,0,0,12668,0
197,3.149787664413452,-0.665809,-0.0652598,0.00639677,-2.24178,-0.857583,1.0768,0,0,0,0,0,0,12667,0
198,3.1657674312591553,-0.665782,-0.0652646,0.00634926,-2.24181,-0.85764,1.0767,0,0,0,0,0,0,12666,0
199,3.1817634105682373,-0.665777,-0.0652525,0.00634484,-2.24185,-0.857586,1.0768,0,0,0,0,0,0,12667,0
200,3.197761297225952,-0.665775,-0.0652364,0.00633598,-2.24181,-0.857596,1.0767,0,0,0,0,0,0,12668,0
201,3.213737964630127,-0.665811,-0.0652474,0.00638358,-2.24177,-0.857562,1.0768,0,0,0,0,0,0,12665,0
202,3.2297322750091553,-0.66577,-0.0652471,0.00633577,-2.24183,-0.857621,1.0767,0,0,0,0,0,0,12665,0
203,3.245706558227539,-0.665778,-0.06526,0.0063361,-2.24185,-0.857611,1.0767,0,0,0,0,0,0,12667,0
204,3.261704683303833,-0.665809,-0.065259,0.00635308,-2.24181,-0.857639,1.0767,0,0,0,0,0,0,12669,0
205,3.277669668197632,-0.66581,-0.0652745,0.00637806,-2.24185,-0.85751,1.076,0,0,0,0,0,0,12667,0
206,3.2936594486236572,-0.665795,-0.0652549,0.00638311,-2.2418,-0.857549,1.0768,0,0,0,0,0,0,12666,0
207,3.308825731277466,-0.665784,-0.0652295,0.00637771,-2.2418,-0.857529,1.076,0,0,0,0,0,0,12670,0
208,3.3254802227020264,-0.665776,-0.0652322,0.00634062,-2.24183,-0.857598,1.0767,0,0,0,0,0,0,12666,0
209,3.341599464416504,-0.665764,-0.0652402,0.00634276,-2.24184,-0.857597,1.0767,0,0,0,0,0,0,12668,0
210,3.3576035499572754,-0.665767,-0.0652456,0.00634484,-2.24186,-0.857595,1.0767,0,0,0,0,0,0,12669,0
211,3.3727478981018066,-0.665787,-0.0652704,0.00636896,-2.2418,-0.857579,1.0768,0,0,0,0,0,0,12670,0
212,3.388705253601074,-0.665775,-0.0652713,0.00633968,-2.24183,-0.857682,1.0767,0,0,0,0,0,0,12667,0
213,3.4046623706817627,-0.665772,-0.0652603,0.00635077,-2.24181,-0.857613,1.0767,0,0,0,0,0,0,12657,0
214,3.421617269515991,-0.665792,-0.0652628,0.00637858,-2.24181,-0.857597,1.0768,0,0,0,0,0,0,12668,0
215,3.4365766048431396,-0.665793,-0.0652694,0.00636182,-2.24183,-0.857583,1.0768,0,0,0,0,0,0,12667,0
216,3.4535317420959473,-0.665772,-0.0652403,0.00636053,-2.24186,-0.857562,1.0767,0,0,0,0,0,0,12667,0
