n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
103,1.6380643844604492,-0.665755,-0.0652364,0.00634765,-2.24188,-0.85749,1.0766,0,0,0,0,0,0,12454,0
104,1.654052734375,-0.665759,-0.0652646,0.00633382,-2.24187,-0.85754,1.0766,0,0,0,0,0,0,12450,0
105,1.6700100898742676,-0.665759,-0.0652523,0.0063539,-2.24188,-0.85749,1.0767,0,0,0,0,0,0,12452,0
106,1.6866090297698975,-0.66575,-0.0652703,0.00632149,-2.24188,-0.857582,1.0766,0,0,0,0,0,0,12454,0
107,1.70267653465271,-0.665789,-0.0652562,0.00639302,-2.24185,-0.857426,1.0768,0,0,0,0,0,0,12458,0
108,1.7187414169311523,-0.665768,-0.0652446,0.00637326,-2.24187,-0.857493,1.0767,0,0,0,0,0,0,12463,0
109,1.7347416877746582,-0.665751,-0.0652321,0.00635793,-2.24191,-0.857435,1.0767,0,0,0,0,0,0,12450,0
110,1.75071382522583,-0.66578,-0.0652837,0.00637058,-2.24189,-0.857489,1.0768,0,0,0,0,0,0,12460,0
111,1.766442060470581,-0.665779,-0.0652743,0.00640372,-2.24184,-0.857447,1.0768,0,0,0,0,0,0,12451,0
112,1.7827043533325195,-0.665767,-0.0652598,0.00636064,-2.24192,-0.857444,1.0767,0,0,0,0,0,0,12452,0
113,1.7978675365447998,-0.665764,-0.0652471,0.00638344,-2.24185,-0.857504,1.0767,0,0,0,0,0,0,12456,0
114,1.8138251304626465,-0.665758,-0.0652741,0.00636537,-2.24196,-0.857428,1.0768,0,0,0,0,0,0,12450,0
115,1.8297803401947021,-0.665773,-0.0652834,0.00635119,-2.2419,-0.85749,1.0767,0,0,0,0,0,0,12450,0
116,1.8467350006103516,-0.665705,-0.0652361,0.00635069,-2.24189,-0.857509,1.0767,0,0,0,0,0,0,12464,0
117,1.862694501876831,-0.665703,-0.0652146,0.00632792,-2.24187,-0.857476,1.0767,0,0,0,0,0,0,12448,0
118,1.8786497116088867,-0.665703,-0.0652146,0.00632792,-2.24187,-0.857476,1.0767,0,0,0,0,0,0,12454,0
119,1.894606351852417,-0.665566,-0.0652362,0.00633087,-2.24188,-0.857552,1.0766,0,0,0,0,0,0,12448,0
120,1.9105637073516846,-0.665545,-0.065215,0.00632454,-2.24183,-0.857439,1.0765,0,0,0,0,0,0,12452,0
121,1.9265210628509521,-0.665439,-0.0652145,0.00631092,-2.24186,-0.857557,1.0765,0,0,0,0,0,0,12461,0
122,1.9424772262573242,-0.665331,-0.0651926,0.00624491,-2.24194,-0.857519,1.0763,0,0,0,0,0,0,12462,0
123,1.95843505859375,-0.665246,-0.0651912,0.00626386,-2.24196,-0.857526,1.0764,0,0,0,0,0,0,12461,0
124,1.9743919372558594,-0.665173,-0.0652556,0.00630761,-2.24198,-0.857612,1.0766,0,0,0,0,0,0,12461,0
125,1.9905242919921875,-0.665077,-0.0651728,0.00628881,-2.24193,-0.857437,1.0764,0,0,0,0,0,0,12457,0
126,2.006364345550537,-0.664937,-0.0651804,0.00635511,-2.24194,-0.857402,1.0765,0,0,0,0,0,0,12451,0
127,2.022298812866211,-0.664797,-0.0652131,0.00633608,-2.24187,-0.857465,1.0765,0,0,0,0,0,0,12452,0
128,2.0382566452026367,-0.664671,-0.0652875,0.00636411,-2.24186,-0.857547,1.0767,0,0,0,0,0,0,12450,0
129,2.055356979370117,-0.664523,-0.0653714,0.00636185,-2.24192,-0.857721,1.07,0,0,0,0,0,0,12451,0
130,2.070434093475342,-0.664468,-0.0653005,0.00637616,-2.24182,-0.857564,1.0768,0,0,0,0,0,0,12464,0
131,2.086453437805176,-0.664214,-0.0653488,0.00637704,-2.24184,-0.857685,1.077,0,0,0,0,0,0,12458,0
132,2.1024575233459473,-0.66408,-0.0653919,0.00646519,-2.24176,-0.857563,1.077,0,0,0,0,0,0,12459,0
133,2.118440628051758,-0.663876,-0.065365,0.00641726,-2.24174,-0.85774,1.077,0,0,0,0,0,0,12457,0
134,2.1344401836395264,-0.663683,-0.0654109,0.00641989,-2.24181,-0.857804,1.077,0,0,0,0,0,0,12461,0
135,2.150254487991333,-0.663555,-0.0654007,0.00639364,-2.24179,-0.857929,1.077,0,0,0,0,0,0,12449,0
136,2.166213035583496,-0.663245,-0.0654717,0.00639285,-2.2419,-0.858104,1.0769,0,0,0,0,0,0,12450,0
137,2.182189464569092,-0.663003,-0.0654884,0.00637174,-2.24196,-0.858229,1.0768,0,0,0,0,0,0,12450,0
138,2.1981277465820312,-0.662772,-0.0655074,0.00637529,-2.24195,-0.858324,1.0767,0,0,0,0,0,0,12452,0
139,2.214115858078003,-0.66251,-0.0654662,0.00634455,-2.24191,-0.85836,1.0765,0,0,0,0,0,0,12461,0
140,2.2300732135772705,-0.662384,-0.0655082,0.00628121,-2.24201,-0.858478,1.0765,0,0,0,0,0,0,12452,0
141,2.246030330657959,-0.662019,-0.0654779,0.00632864,-2.2419,-0.858374,1.0764,0,0,0,0,0,0,12448,0
142,2.2619874477386475,-0.661789,-0.0654599,0.00634833,-2.24195,-0.858226,1.076,0,0,0,0,0,0,12450,0
143,2.2779133319854736,-0.661536,-0.0655583,0.00634873,-2.24199,-0.858433,1.0766,0,0,0,0,0,0,12457,0
144,2.293869733810425,-0.66126,-0.0656089,0.00638503,-2.24198,-0.858444,1.0768,0,0,0,0,0,0,12461,0
145,2.3098278045654297,-0.661157,-0.0655719,0.006406,-2.24201,-0.858157,1.0768,0,0,0,0,0,0,12458,0
146,2.325815200805664,-0.660897,-0.0656022,0.00641768,-2.24196,-0.858073,1.0771,0,0,0,0,0,0,12462,0
147,2.341740846633911,-0.660814,-0.0656938,0.00651698,-2.2419,-0.858203,1.0775,0,0,0,0,0,0,12460,0
148,2.3576979637145996,-0.660543,-0.0657257,0.00653654,-2.24183,-0.858057,1.077,0,0,0,0,0,0,12449,0
149,2.373655319213867,-0.660004,-0.0657567,0.00658705,-2.24188,-0.857877,1.0778,0,0,0,0,0,0,12449,0
150,2.3896145820617676,-0.659836,-0.0658251,0.00654019,-2.24199,-0.858236,1.0777,0,0,0,0,0,0,12451,0
