n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
91,1.4521167278289795,-0.66578,-0.0652536,0.00640432,-2.24182,-0.857467,1.0768,0,0,0,0,0,0,12596,0
92,1.468073844909668,-0.665747,-0.0652382,0.00635627,-2.24188,-0.857541,1.0766,0,0,0,0,0,0,12601,0
93,1.4840304851531982,-0.665774,-0.0652368,0.00638707,-2.24187,-0.857426,1.0767,0,0,0,0,0,0,12600,0
94,1.499988317489624,-0.665807,-0.0652496,0.00639564,-2.24184,-0.857413,1.0768,0,0,0,0,0,0,12596,0
95,1.5159454345703125,-0.665775,-0.0652316,0.00637271,-2.24188,-0.857413,1.0767,0,0,0,0,0,0,12600,0
96,1.531902551651001,-0.665818,-0.0652555,0.00644279,-2.24184,-0.857398,1.0769,0,0,0,0,0,0,12594,0
97,1.5478599071502686,-0.665782,-0.0652179,0.00639666,-2.24187,-0.857405,1.0767,0,0,0,0,0,0,12595,0
98,1.563817024230957,-0.66579,-0.0652392,0.00641518,-2.24187,-0.857384,1.0768,0,0,0,0,0,0,12597,0
99,1.5797755718231201,-0.665793,-0.065199,0.00639142,-2.24183,-0.857397,1.0767,0,0,0,0,0,0,12598,0
100,1.5957331657409668,-0.665787,-0.0652579,0.00640635,-2.2418,-0.857489,1.0768,0,0,0,0,0,0,12594,0
101,1.611689567565918,-0.665791,-0.0652395,0.00642102,-2.24182,-0.857385,1.0768,0,0,0,0,0,0,12601,0
102,1.6276462078094482,-0.66578,-0.0652316,0.00638052,-2.24185,-0.857452,1.0767,0,0,0,0,0,0,12599,0
103,1.643603801727295,-0.665799,-0.0652413,0.00638991,-2.24186,-0.857461,1.076,0,0,0,0,0,0,12599,0
104,1.6595611572265625,-0.6658,-0.0652772,0.0064241,-2.24185,-0.857444,1.0769,0,0,0,0,0,0,12596,0
105,1.6755187511444092,-0.665808,-0.0652651,0.00639767,-2.24182,-0.857467,1.0768,0,0,0,0,0,0,12596,0
106,1.6914763450622559,-0.665808,-0.0652225,0.00641535,-2.24181,-0.857388,1.0768,0,0,0,0,0,0,12596,0
107,1.7074334621429443,-0.66577,-0.0652339,0.00638148,-2.24186,-0.857463,1.0767,0,0,0,0,0,0,12600,0
108,1.7233901023864746,-0.665795,-0.0652388,0.00642626,-2.24187,-0.857356,1.0768,0,0,0,0,0,0,12595,0
109,1.7393476963043213,-0.665798,-0.0652498,0.00641485,-2.24184,-0.857358,1.0768,0,0,0,0,0,0,12599,0
110,1.7553057670593262,-0.66581,-0.0652444,0.00641561,-2.24183,-0.857461,1.0768,0,0,0,0,0,0,12600,0
111,1.7712633609771729,-0.665793,-0.0652481,0.00640309,-2.24187,-0.857463,1.0768,0,0,0,0,0,0,12600,0
112,1.7872204780578613,-0.665776,-0.0652448,0.00640703,-2.24184,-0.857421,1.0768,0,0,0,0,0,0,12599,0
113,1.803177833557129,-0.665803,-0.0652388,0.00642115,-2.24183,-0.857439,1.0768,0,0,0,0,0,0,12597,0
114,1.8191349506378174,-0.665792,-0.0652475,0.00641046,-2.24186,-0.857451,1.0768,0,0,0,0,0,0,12596,0
115,1.835092544555664,-0.665785,-0.0652379,0.00638847,-2.24187,-0.857456,1.0767,0,0,0,0,0,0,12592,0
116,1.8510491847991943,-0.665796,-0.0652429,0.0063901,-2.24189,-0.857365,1.0768,0,0,0,0,0,0,12598,0
117,1.867006778717041,-0.665803,-0.0652768,0.00642066,-2.24184,-0.857436,1.076,0,0,0,0,0,0,12597,0
118,1.8829646110534668,-0.665775,-0.0652337,0.00637436,-2.2419,-0.857436,1.0767,0,0,0,0,0,0,12589,0
119,1.8989219665527344,-0.665778,-0.065241,0.00639208,-2.24183,-0.857461,1.0767,0,0,0,0,0,0,12595,0
120,1.9148788452148438,-0.665788,-0.065239,0.00640811,-2.24188,-0.857405,1.0768,0,0,0,0,0,0,12597,0
121,1.9308362007141113,-0.665789,-0.0652198,0.00638331,-2.24187,-0.85739,1.0767,0,0,0,0,0,0,12597,0
122,1.9467928409576416,-0.665766,-0.0652715,0.00638969,-2.24189,-0.857521,1.0767,0,0,0,0,0,0,12597,0
123,1.9627506732940674,-0.665799,-0.065223,0.00641856,-2.24186,-0.857333,1.0768,0,0,0,0,0,0,12600,0
124,1.9797072410583496,-0.665796,-0.0652245,0.00643111,-2.24182,-0.857362,1.0768,0,0,0,0,0,0,12602,0
125,1.9946668148040771,-0.665785,-0.065261,0.00639635,-2.2419,-0.857439,1.0768,0,0,0,0,0,0,12598,0
126,2.0116195678710938,-0.665785,-0.0652291,0.00640526,-2.24189,-0.857428,1.0767,0,0,0,0,0,0,12601,0
127,2.0275766849517822,-0.665797,-0.0652156,0.00641008,-2.24187,-0.857378,1.0767,0,0,0,0,0,0,12598,0
128,2.04353404045105,-0.665803,-0.0652387,0.00640999,-2.24188,-0.857404,1.076,0,0,0,0,0,0,12595,0
129,2.0594913959503174,-0.66579,-0.065243,0.00638406,-2.24189,-0.857394,1.0768,0,0,0,0,0,0,12600,0
130,2.0754494667053223,-0.665765,-0.0652262,0.00638752,-2.2419,-0.857433,1.0767,0,0,0,0,0,0,12599,0
131,2.0914061069488525,-0.665768,-0.0652735,0.00638314,-2.24187,-0.857522,1.0767,0,0,0,0,0,0,12597,0
132,2.1073639392852783,-0.665777,-0.065245,0.00636924,-2.24186,-0.857518,1.0767,0,0,0,0,0,0,12595,0
133,2.123321294784546,-0.665806,-0.0652557,0.00645243,-2.24183,-0.857363,1.0769,0,0,0,0,0,0,12600,0
134,2.1392784118652344,-0.665795,-0.0652216,0.00639116,-2.24185,-0.857389,1.0767,0,0,0,0,0,0,12597,0
135,2.155236005783081,-0.665776,-0.0652081,0.00638525,-2.24183,-0.857429,1.0766,0,0,0,0,0,0,12597,0
136,2.1711947917938232,-0.665819,-0.065212,0.00644225,-2.24179,-0.857361,1.0768,0,0,0,0,0,0,12597,0
137,2.1871497631073,-0.665776,-0.0652359,0.00636849,-2.24186,-0.857463,1.0767,0,0,0,0,0,0,12603,0
138,2.203108072280884,-0.665785,-0.0652281,0.00638225,-2.24185,-0.857432,1.0767,0,0,0,0,0,0,12596,0
139,2.219067096710205,-0.665773,-0.0652354,0.00639737,-2.24183,-0.857477,1.0767,0,0,0,0,0,0,12598,0
140,2.235025644302368,-0.665759,-0.065247,0.00637368,-2.24187,-0.857467,1.0767,0,0,0,0,0,0,12598,0
141,2.250986337661743,-0.665776,-0.065245,0.00639316,-2.24189,-0.8574,1.0767,0,0,0,0,0,0,12596,0
142,2.266937494277954,-0.665802,-0.0652542,0.00639938,-2.24186,-0.857446,1.0768,0,0,0,0,0,0,12600,0
143,2.2828943729400635,-0.665783,-0.0651922,0.00640104,-2.24186,-0.857314,1.0767,0,0,0,0,0,0,12594,0
144,2.2988531589508057,-0.665783,-0.0651922,0.00640104,-2.24186,-0.857314,1.0767,0,0,0,0,0,0,12596,0
145,2.3148083686828613,-0.665776,-0.0652016,0.00638352,-2.24186,-0.85743,1.076,0,0,0,0,0,0,12596,0
146,2.330765962600708,-0.665786,-0.0652608,0.00636625,-2.24187,-0.857489,1.0767,0,0,0,0,0,0,12603,0
147,2.3467230796813965,-0.665799,-0.0652553,0.00638563,-2.24186,-0.857468,1.0768,0,0,0,0,0,0,12598,0
148,2.3626811504364014,-0.665781,-0.0652236,0.0063786,-2.24191,-0.857365,1.0767,0,0,0,0,0,0,12599,0
149,2.3786377906799316,-0.665784,-0.0652382,0.00641323,-2.24189,-0.857406,1.0768,0,0,0,0,0,0,12597,0
150,2.3945953845977783,-0.665775,-0.0652597,0.00638312,-2.24187,-0.857487,1.0767,0,0,0,0,0,0,12596,0
151,2.4105536937713623,-0.665796,-0.0652551,0.00640981,-2.24183,-0.857462,1.0768,0,0,0,0,0,0,12598,0
152,2.4265098571777344,-0.665778,-0.0652246,0.00636595,-2.24185,-0.857411,1.0767,0,0,0,0,0,0,12600,0
153,2.442467451095581,-0.665796,-0.0652383,0.00638597,-2.24184,-0.8574,1.076,0,0,0,0,0,0,12596,0
154,2.4584240913391113,-0.665792,-0.0652035,0.00638495,-2.24189,-0.857347,1.0767,0,0,0,0,0,0,12593,0
155,2.474381685256958,-0.66576,-0.0652253,0.00634446,-2.2419,-0.857437,1.0766,0,0,0,0,0,0,12594,0
156,2.4903388023376465,-0.665797,-0.0652415,0.00640583,-2.24184,-0.857435,1.0767,0,0,0,0,0,0,12597,0
